identifier,final_title,part_number,date,publisher,pubplace,County1,City1,CitySection1,County2,City2,CitySection2,County3,City3,CitySection3,County4,City4,CitySection4,County5,City5,CitySection5,County6,City6,CitySection6,County7,City7,CitySection7,County8,City8,CitySection8,County9,City9,CitySection9,County10,City10,CitySection10,County11,City11,CitySection11,County12,City12,CitySection12,County13,City13,CitySection13,County14,City14,CitySection14,County15,City15,CitySection15,County16,City16,CitySection16,County17,City17,CitySection17,County18,City18,CitySection18,County19,City19,CitySection19,County20,City20,CitySection20,streets,features
24v0319a,"Upper Lawerenceville, Stanton Heights",Plate 19 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Upper Lawrenceville,Allegheny County (Pa.),Pittsburgh,Stanton Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Antoinette st, 56th st, Joy way, Premier st, Fence way, Downlook ave, Alcock way, Oldani st, McCabe (McKee) st, Coleridge st, Arcade way, Woodbine st, McCandless ave, 57th st, Hawthorne st, Stanton ave, Price way, Alford way, Drive way, Keystone st, Drive st, Camelia st, Christopher st ","Entrance, Steps, Steps, "
24v0319b,Stanton Heights,Plate 19 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Stanton Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Old ln, Garage way, Allied way, Alcock way, Oldani st, Antoinette st, Fairfield st, Woodbine st, Hawthorne st, Farmington st, Oglethorpe ave, Drive way ",
24v0320a,Stanton Heights,Plate 20 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Stanton Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62nd st, Osborne st, Sawyer st, Butler st, Belgrade (Johnston) st ","Pennsylvania System, Sharpsburg Bridge, Allegheny Valley Railroad, Allegheny River"
24v0320b,Stanton Heights,Plate 20 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Stanton Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rienzi (Osborne) st, Roach st, Volz st, 62nd st, Woodbine st, Livonia st, Butler st, Sawyer st, Belgrade (Johnston) st, Osborne st ","Sharpsburg Bridge, Allegheny Valley Railroad, Pennsylvania System, Steps, Harbor Line, Allegheny River"
24v0321a,Stanton Heights,Plate 21 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Stanton Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dragoon way, Jamaica way, Jersey way, Kalamazoo way, Greenwood st, Martha st, El Paso st, Nolo (Mole) way, National st, Lansing way, Amsterdam ave, Trinity st, Elmwood st, Allied way, Premo (Pringell) st, Hawthorne st, Marietta st, Duffield (Elgin) st, Peggy way, Livingstone st, Butler st, Baker st, Adelphia st, Greenwood st ","Pennsylvania System, Allegheny Valley Railroad, Harbor Line, Allegheny River"
24v0321b,Morningside,Plate 21 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Morningside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gatewood way, Brooks way, President way, Verse (Venango) way, Martha st, Antietam st, Greenwood st, Bishop st, Ballard way, Duffield (Elgin) st, Swan way, Snow way, Kalamazoo way, Butler st, Baker st, Premo (Pringell) st, Adelphia st, Morningside ave, Jancey st, Chislett st, El Paso st, Jamaica way, Gael way ","Harbor Line, Allegheny Valley Railroad, Pennsylvania System, Steps, Steps, Steps, Steps, Steps, Steps, Steps, Allegheny River"
24v0322a,"Stanton Heights, Morningside",Plate 22 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Stanton Heights,Allegheny County (Pa.),Pittsburgh,Morningside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Traverse way, Fairfield st, Amsterdam ave, Stanton ave, Arms way, Stanton ct East, Stanton ct N, Stanton ct West, Ursina ave, Old ln, Bryant st, Lansing way, Farmington st, Vislack st, Trinity st, Morningside ave, National st, El Paso st, Jamaica way, Duffield st, Kalamazoo way, Dragoon way ",
24v0322b,"Morningside, Highland Park",Plate 22 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Morningside,Allegheny County (Pa.),Pittsburgh,Highland Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heth's (Haights) ave, Vislack st, Drake way, Vetter st, Morningside rd, Greenwood st, Antietam st, Swan way, Morningside ave, Jancey st, Snow way, Bryant st, Chislett st, President way, Martha st ","Highland Park, "
24v0323a,"Morningside, Highland Park",Plate 23 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Morningside,Allegheny County (Pa.),Pittsburgh,Highland Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallatin st, Leon way, Catawba way, Manisee (Manhattan) st, Conewago way, Palmer way, Java way, Baker st, Heth's (Haights) ave, Chislett st, Bishop st, Witherspoon st, Ballard way, Butler st, Standish st, Antietam st ","Highland Park, Haight's Run, Bridge, Bridge, Steps, Steps, Pennsylvania System, Allegheny Valley Railroad, U S Harbor Line, Allegheny River"
24v0323b,"Homewood South, Wilkinsburg",Plate 23 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Wilkinsburg (Borough),Allegheny County (Pa.),Pittsburgh,Homewood (South),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inglenook (Topeka) pl, Pitt (Dunbar) st, (Vacated) Madeira (Holmes) st, Madeira (Holmes) st, Susquehanna (Elliot) st, Tioga st, Genesee way, Hamilton ave, Hawkeye st, Rosedale st, Tacoma st, Oakwood st, Haverhill st, Mulford st, Brushton ave, Chessey way ","City Line, Brushton Yard, Brushton Yard, City Line, City Line, Pennsylvania System, Pennsylvania System, City Line,"
